TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
2017,152.69,154.45,154.25,153.56,153.64,153.48,153.12,152.51,151.88,151.31,150.91,151.05
COMIDAS FUERA DEL HOGAR,,,,,,,,,,,,
1995,52.48157066982966,53.80110898127356,54.34459627617455,54.60662275680265,55.36539123757982,56.230226980516754,56.66185153754893,57.12902106943406,58.02185511872571,58.85989437057758,59.49713655460606,60.31113285201767
1996,65.11498130720132,67.05712974332216,67.41691217719125,67.80714641580786,68.72972331519627,69.21356865729605,70.12825064434251,70.78691190258559,71.27526862316651,71.96438168615713,72.43356504819329,74.39601468747914
1997,42.58006932917487,43.74517266292386,44.08763311511289,44.31696480033102,44.63913585409591,44.833422214763296,45.05168695538645,45.55584776471319,45.692954911639845,45.889700593328335,46.425832575929455,47.61491428963423
1998,49.786511968330345,50.85307935225065,51.704878417861686,52.21525549181805,52.88708146322777,53.31133200950853,53.61955452661983,53.846561908809555,54.23545042726141,54.276867423057546,54.24042661052871,54.513737461840385
1999,56.384075,57.498306,57.944012,58.444976,58.054079,58.133402,58.230571,58.148617,58.204092,58.084692,58.111113,58.419633
2000,59.018875,59.780606,59.887989,59.952461,60.17468,60.516332,60.484217,60.503263,60.748771,60.792462,60.958123,61.27404
2001,61.980146,62.977038,63.177244,63.949506,64.077967,64.238115,64.292914,64.518388,64.671231,64.738575,64.91872,65.223172
2002,66.201598,66.813072,67.022594,67.240887,67.91175,67.891487,67.920986,68.054885,68.17254,68.47793,68.649012,69.213733
